Features,MAE,RMSE,R2,MAE_low,RMSE_low,R2_low,MAE_normal,RMSE_normal,R2_normal,MAE_high,RMSE_high,R2_high
5,0.7492173255368569,0.8944778990238965,0.3850916300045477,0.6260325891477306,0.7577076680666159,-0.17461653866882676,0.5326988447145982,0.5858268043658501,0.0,1.4757063122572405,1.485620584385344,0.0
10,0.730395540111333,0.8518940125904809,0.4422464956803651,0.6334905430587328,0.741288855356748,-0.1242624058407904,0.4982948443109339,0.5464711047966732,0.0,1.3787656257594871,1.3823893261265443,0.0
15,0.6676371811054035,0.8076710115656098,0.4986509835268941,0.5161904162909927,0.6431604903172441,0.15368612320193376,0.5666523999821056,0.6307262879420058,0.0,1.3552261492353757,1.3618472549153338,0.0
20,0.6053659891420947,0.7184470967218463,0.6033013120602584,0.5351694044514399,0.6501612553952745,0.13516169416573232,0.46241806417378517,0.5352984288476444,0.0,1.0437002824118773,1.0717540238394445,0.0
25,0.5079048221361311,0.6271481693992839,0.6977185521526144,0.418770337362115,0.5339369633923785,0.4167258611065364,0.40349483766122296,0.48542104028773586,0.0,0.9685519861419816,0.9955338206276905,0.0
30,0.47772710676432384,0.5706589575420284,0.7497209756900385,0.4391449947967762,0.5299388326803326,0.42542829361341983,0.3148706538807262,0.3733434969866248,0.0,0.8235318866574387,0.8507163699789242,0.0
35,0.41378334859221905,0.5096380061449793,0.8003842560138774,0.385024397675584,0.48618343197490055,0.5163924674688873,0.33591108786843044,0.393748168153884,0.0,0.6173906402242669,0.6904112656091214,0.0
40,0.30810704906026637,0.42538245672416036,0.8609310018316086,0.22514498713976003,0.34432484389128454,0.7574342576885592,0.398519145488739,0.4537246641397044,0.0,0.5034263443407431,0.6176091276781639,0.0
45,0.2082353916854844,0.3401515543073562,0.9110765926784232,0.19693089447806517,0.3350550833259229,0.7703189477008356,0.15184443595192648,0.26661993691942276,0.0,0.32034942126381993,0.4289405311559282,0.0
46,0.20523893777903812,0.33810752493022406,0.9121420938340428,0.1948780489404027,0.3328298711166906,0.7733595935581558,0.1507717086791992,0.2674945449836153,0.0,0.3114580185488878,0.4250499889489433,0.0
